round,plate,row,col,od600,od750,r1emptyblank600,r1emptyblank750,r1ROblank600,r1ROblank750,blankod600,blankod750,note
1,1,A,1,0.039,0.044,0.039,0.036,0.041,0.04,-0.002,0.004,blankodcols are difference between sample and ÒROÓ reverse osmosis water
1,1,B,1,0.102,0.115,0.036,0.034,0.038,0.038,0.064,0.077,samples are 60ul
1,1,C,1,0.083,0.08,0.036,0.034,0.04,0.039,0.043,0.041,
1,1,D,1,0.036,0.034,0.036,0.034,0.043,0.042,-0.007,-0.008,
1,1,E,1,0.066,0.083,0.037,0.036,0.041,0.041,0.025,0.042,
1,1,F,1,0.147,0.139,0.037,0.036,0.04,0.039,0.107,0.1,
1,1,G,1,0.038,0.035,0.036,0.034,0.039,0.038,-0.001,-0.003,
1,1,H,1,0.056,0.053,0.039,0.037,0.041,0.04,0.015,0.013,
1,1,A,2,0.052,0.05,0.038,0.037,0.04,0.039,0.012,0.011,
1,1,B,2,0.156,0.148,0.036,0.037,0.037,0.038,0.119,0.11,
1,1,C,2,0.043,0.041,0.037,0.032,0.039,0.037,0.004,0.004,
1,1,D,2,0.043,0.043,0.036,0.034,0.038,0.037,0.005,0.006,
1,1,E,2,0.035,0.035,0.036,0.036,0.037,0.039,-0.002,-0.004,
1,1,F,2,0.046,0.057,0.037,0.037,0.039,0.041,0.007,0.016,
1,1,G,2,0.071,0.077,0.036,0.034,0.039,0.037,0.032,0.04,
1,1,H,2,0.058,0.065,0.036,0.034,0.038,0.037,0.02,0.028,
1,1,A,3,0.053,0.051,0.039,0.037,0.041,0.04,0.012,0.011,
1,1,B,3,0.058,0.062,0.036,0.037,0.039,0.041,0.019,0.021,
1,1,C,3,0.058,0.088,0.037,0.034,0.04,0.039,0.018,0.049,
1,1,D,3,0.128,0.134,0.038,0.035,0.042,0.04,0.086,0.094,
1,1,E,3,0.121,0.116,0.037,0.034,0.04,0.038,0.081,0.078,
1,1,F,3,0.045,0.099,0.039,0.034,0.042,0.039,0.003,0.06,
1,1,G,3,0.077,0.09,0.037,0.036,0.04,0.04,0.037,0.05,
1,1,H,3,0.278,0.257,0.036,0.033,0.039,0.038,0.239,0.219,
1,1,A,4,0.043,0.044,0.038,0.037,0.041,0.04,0.002,0.004,
1,1,B,4,0.209,0.24,0.039,0.038,0.039,0.041,0.17,0.199,
1,1,C,4,0.046,0.042,0.037,0.034,0.04,0.037,0.006,0.005,
1,1,D,4,0.051,0.049,0.039,0.036,0.042,0.04,0.009,0.009,
1,1,E,4,0.043,0.046,0.037,0.039,0.037,0.041,0.006,0.005,
1,1,F,4,0.277,0.262,0.036,0.037,0.038,0.04,0.239,0.222,
1,1,G,4,0.036,0.035,0.036,0.036,0.038,0.039,-0.002,-0.004,
1,1,H,4,0.37,0.34,0.036,0.034,0.038,0.037,0.332,0.303,
1,1,A,5,0.048,0.065,0.038,0.035,0.04,0.04,0.008,0.025,
1,1,B,5,0.253,0.263,0.037,0.033,0.039,0.04,0.214,0.223,
1,1,C,5,0.191,0.166,0.038,0.033,0.04,0.038,0.151,0.128,
1,1,D,5,0.041,0.041,0.037,0.036,0.039,0.039,0.002,0.002,
1,1,E,5,0.049,0.052,0.036,0.038,0.039,0.042,0.01,0.01,
1,1,F,5,0.102,0.101,0.038,0.035,0.041,0.039,0.061,0.062,
1,1,G,5,0.037,0.037,0.035,0.038,0.04,0.042,-0.003,-0.005,
1,1,H,5,0.067,0.066,0.039,0.036,0.041,0.04,0.026,0.026,
1,1,A,6,0.046,0.057,0.036,0.034,0.038,0.037,0.008,0.02,
1,1,B,6,0.082,0.1,0.036,0.034,0.038,0.037,0.044,0.063,
1,1,C,6,0.05,0.053,0.038,0.035,0.04,0.038,0.01,0.015,
1,1,D,6,0.046,0.045,0.037,0.031,0.039,0.039,0.007,0.006,
1,1,E,6,0.049,0.047,0.036,0.035,0.039,0.038,0.01,0.009,
1,1,F,6,0.055,0.063,0.036,0.034,0.038,0.037,0.017,0.026,
1,1,G,6,0.078,0.078,0.037,0.036,0.041,0.041,0.037,0.037,
1,1,H,6,0.271,0.196,0.038,0.036,0.039,0.038,0.232,0.158,
1,1,A,7,0.169,0.179,0.038,0.032,0.039,0.039,0.13,0.14,
1,1,B,7,0.036,0.033,0.036,0.034,0.038,0.037,-0.002,-0.004,
1,1,C,7,0.043,0.042,0.036,0.034,0.039,0.038,0.004,0.004,
1,1,D,7,0.046,0.047,0.037,0.034,0.04,0.038,0.006,0.009,
1,1,E,7,0.037,0.034,0.037,0.034,0.039,0.038,-0.002,-0.004,
1,1,F,7,0.041,0.04,0.036,0.034,0.039,0.038,0.002,0.002,
1,1,G,7,0.048,0.046,0.038,0.036,0.044,0.043,0.004,0.003,
1,1,H,7,0.049,0.05,0.041,0.041,0.045,0.047,0.004,0.003,
1,1,A,8,0.041,0.094,0.036,0.034,0.038,0.037,0.003,0.057,
1,1,B,8,0.05,0.052,0.036,0.034,0.039,0.038,0.011,0.014,
1,1,C,8,0.036,0.034,0.036,0.034,0.039,0.038,-0.003,-0.004,
1,1,D,8,0.043,0.042,0.036,0.035,0.039,0.038,0.004,0.004,
1,1,E,8,0.046,0.047,0.036,0.03,0.039,0.04,0.007,0.007,
1,1,F,8,0.043,0.042,0.038,0.041,0.04,0.04,0.003,0.002,
1,1,G,8,0.045,0.051,0.038,0.037,0.041,0.041,0.004,0.01,
1,1,H,8,0.05,0.058,0.039,0.036,0.041,0.039,0.009,0.019,
1,1,A,9,0.049,0.05,0.038,0.036,0.041,0.04,0.008,0.01,
1,1,B,9,0.132,0.199,0.037,0.035,0.039,0.038,0.093,0.161,
1,1,C,9,0.044,0.043,0.037,0.034,0.041,0.039,0.003,0.004,
1,1,D,9,0.038,0.037,0.038,0.036,0.04,0.04,-0.002,-0.003,
1,1,E,9,0.049,0.054,0.036,0.039,0.039,0.042,0.01,0.012,
1,1,F,9,0.044,0.042,0.037,0.034,0.039,0.038,0.005,0.004,
1,1,G,9,0.044,0.045,0.037,0.038,0.039,0.042,0.005,0.003,
1,1,H,9,0.071,0.063,0.037,0.034,0.04,0.039,0.031,0.024,
1,1,A,10,0.045,0.051,0.037,0.035,0.04,0.039,0.005,0.012,
1,1,B,10,0.158,0.159,0.037,0.036,0.039,0.039,0.119,0.12,
1,1,C,10,0.088,0.12,0.037,0.034,0.039,0.038,0.049,0.082,
1,1,D,10,0.048,0.046,0.038,0.037,0.041,0.039,0.007,0.007,
1,1,E,10,0.212,0.18,0.037,0.036,0.04,0.041,0.172,0.139,
1,1,F,10,0.06,0.083,0.038,0.034,0.041,0.038,0.019,0.045,
1,1,G,10,0.106,0.105,0.038,0.035,0.041,0.039,0.065,0.066,
1,1,H,10,0.247,0.216,0.037,0.034,0.039,0.038,0.208,0.178,
1,1,A,11,0.044,0.055,0.038,0.036,0.041,0.041,0.003,0.014,
1,1,B,11,0.072,0.072,0.037,0.036,0.04,0.04,0.032,0.032,
1,1,C,11,0.085,0.18,0.037,0.037,0.041,0.039,0.044,0.141,
1,1,D,11,0.202,0.157,0.039,0.037,0.039,0.038,0.163,0.119,
1,1,E,11,0.044,0.051,0.036,0.035,0.039,0.039,0.005,0.012,
1,1,F,11,0.054,0.066,0.039,0.039,0.042,0.043,0.012,0.023,
1,1,G,11,0.063,0.126,0.036,0.038,0.039,0.039,0.024,0.087,
1,1,H,11,0.048,0.053,0.036,0.034,0.039,0.037,0.009,0.016,
1,1,A,12,0.046,0.06,0.038,0.035,0.04,0.038,0.006,0.022,
1,1,B,12,0.065,0.129,0.036,0.034,0.038,0.037,0.027,0.092,
1,1,C,12,0.054,0.076,0.036,0.034,0.039,0.038,0.015,0.038,
1,1,D,12,0.045,0.054,0.037,0.034,0.041,0.039,0.004,0.015,
1,1,E,12,0.059,0.057,0.037,0.035,0.04,0.039,0.019,0.018,
1,1,F,12,0.038,0.036,0.039,0.036,0.041,0.039,-0.003,-0.003,
1,1,G,12,0.098,0.081,0.037,0.033,0.039,0.038,0.059,0.043,
1,1,H,12,0.042,0.041,0.036,0.034,0.041,0.039,0.001,0.002,
1,2,A,1,0.038,0.036,0.039,0.036,0.041,0.04,-0.003,-0.004,
1,2,B,1,0.086,0.071,0.036,0.034,0.038,0.038,0.048,0.033,
1,2,C,1,0.095,0.078,0.036,0.034,0.04,0.039,0.055,0.039,
1,2,D,1,0.152,0.144,0.036,0.034,0.043,0.042,0.109,0.102,
1,2,E,1,0.106,0.094,0.037,0.036,0.041,0.041,0.065,0.053,
1,2,F,1,0.066,0.061,0.037,0.036,0.04,0.039,0.026,0.022,
1,2,G,1,0.037,0.037,0.036,0.034,0.039,0.038,-0.002,-0.001,
1,2,H,1,0.044,0.041,0.039,0.037,0.041,0.04,0.003,0.001,
1,2,A,2,0.044,0.047,0.038,0.037,0.04,0.039,0.004,0.008,
1,2,B,2,0.066,0.148,0.036,0.037,0.037,0.038,0.029,0.11,
1,2,C,2,0.085,0.107,0.037,0.032,0.039,0.037,0.046,0.07,
1,2,D,2,0.177,0.176,0.036,0.034,0.038,0.037,0.139,0.139,
1,2,E,2,0.158,0.15,0.036,0.036,0.037,0.039,0.121,0.111,
1,2,F,2,0.037,0.038,0.037,0.037,0.039,0.041,-0.002,-0.003,
1,2,G,2,0.07,0.082,0.036,0.034,0.039,0.037,0.031,0.045,
1,2,H,2,0.048,0.052,0.036,0.034,0.038,0.037,0.01,0.015,
1,2,A,3,0.038,0.037,0.039,0.037,0.041,0.04,-0.003,-0.003,
1,2,B,3,0.068,0.113,0.036,0.037,0.039,0.041,0.029,0.072,
1,2,C,3,0.037,0.035,0.037,0.034,0.04,0.039,-0.003,-0.004,
1,2,D,3,0.091,0.084,0.038,0.035,0.042,0.04,0.049,0.044,
1,2,E,3,0.039,0.036,0.037,0.034,0.04,0.038,-0.001,-0.002,
1,2,F,3,0.079,0.109,0.039,0.034,0.042,0.039,0.037,0.07,
1,2,G,3,0.037,0.036,0.037,0.036,0.04,0.04,-0.003,-0.004,
1,2,H,3,0.046,0.044,0.036,0.033,0.039,0.038,0.007,0.006,
1,2,A,4,0.152,0.123,0.038,0.037,0.041,0.04,0.111,0.083,
1,2,B,4,0.049,0.05,0.039,0.038,0.039,0.041,0.01,0.009,
1,2,C,4,0.08,0.153,0.037,0.034,0.04,0.037,0.04,0.116,
1,2,D,4,0.039,0.038,0.039,0.036,0.042,0.04,-0.003,-0.002,
1,2,E,4,0.069,0.102,0.037,0.039,0.037,0.041,0.032,0.061,
1,2,F,4,0.037,0.036,0.036,0.037,0.038,0.04,-0.001,-0.004,
1,2,G,4,0.047,0.049,0.036,0.036,0.038,0.039,0.009,0.01,
1,2,H,4,0.362,0.311,0.036,0.034,0.038,0.037,0.324,0.274,
1,2,A,5,0.105,0.126,0.038,0.035,0.04,0.04,0.065,0.086,
1,2,B,5,0.043,0.089,0.037,0.033,0.039,0.04,0.004,0.049,
1,2,C,5,0.045,0.048,0.038,0.033,0.04,0.038,0.005,0.01,
1,2,D,5,0.055,0.051,0.037,0.036,0.039,0.039,0.016,0.012,
1,2,E,5,0.044,0.047,0.036,0.038,0.039,0.042,0.005,0.005,
1,2,F,5,0.272,0.241,0.038,0.035,0.041,0.039,0.231,0.202,
1,2,G,5,0.164,0.159,0.035,0.038,0.04,0.042,0.124,0.117,
1,2,H,5,0.13,0.12,0.039,0.036,0.041,0.04,0.089,0.08,
1,2,A,6,0.091,0.083,0.036,0.034,0.038,0.037,0.053,0.046,
1,2,B,6,0.036,0.034,0.036,0.034,0.038,0.037,-0.002,-0.003,
1,2,C,6,0.274,0.253,0.038,0.035,0.04,0.038,0.234,0.215,
1,2,D,6,0.053,0.055,0.037,0.031,0.039,0.039,0.014,0.016,
1,2,E,6,0.178,0.144,0.036,0.035,0.039,0.038,0.139,0.106,
1,2,F,6,0.103,0.108,0.036,0.034,0.038,0.037,0.065,0.071,
1,2,G,6,0.053,0.05,0.037,0.036,0.041,0.041,0.012,0.009,
1,2,H,6,0.234,0.239,0.038,0.036,0.039,0.038,0.195,0.201,
1,2,A,7,0.102,0.089,0.038,0.032,0.039,0.039,0.063,0.05,
1,2,B,7,0.055,0.071,0.036,0.034,0.038,0.037,0.017,0.034,
1,2,C,7,0.085,0.089,0.036,0.034,0.039,0.038,0.046,0.051,
1,2,D,7,0.043,0.045,0.037,0.034,0.04,0.038,0.003,0.007,
1,2,E,7,0.047,0.053,0.037,0.034,0.039,0.038,0.008,0.015,
1,2,F,7,0.049,0.047,0.036,0.034,0.039,0.038,0.01,0.009,
1,2,G,7,0.062,0.072,0.038,0.036,0.044,0.043,0.018,0.029,
1,2,H,7,0.041,0.042,0.041,0.041,0.045,0.047,-0.004,-0.005,
1,2,A,8,0.154,0.151,0.036,0.034,0.038,0.037,0.116,0.114,
1,2,B,8,0.036,0.034,0.036,0.034,0.039,0.038,-0.003,-0.004,
1,2,C,8,0.22,0.247,0.036,0.034,0.039,0.038,0.181,0.209,
1,2,D,8,0.051,0.058,0.036,0.035,0.039,0.038,0.012,0.02,
1,2,E,8,0.047,0.051,0.036,0.03,0.039,0.04,0.008,0.011,
1,2,F,8,0.085,0.09,0.038,0.041,0.04,0.04,0.045,0.05,
1,2,G,8,0.108,0.079,0.038,0.037,0.041,0.041,0.067,0.038,
1,2,H,8,0.048,0.045,0.039,0.036,0.041,0.039,0.007,0.006,
1,2,A,9,0.05,0.054,0.038,0.036,0.041,0.04,0.009,0.014,
1,2,B,9,0.244,0.217,0.037,0.035,0.039,0.038,0.205,0.179,
1,2,C,9,0.103,0.1,0.037,0.034,0.041,0.039,0.062,0.061,
1,2,D,9,0.048,0.049,0.038,0.036,0.04,0.04,0.008,0.009,
1,2,E,9,0.062,0.062,0.036,0.039,0.039,0.042,0.023,0.02,
1,2,F,9,0.056,0.057,0.037,0.034,0.039,0.038,0.017,0.019,
1,2,G,9,0.038,0.039,0.037,0.038,0.039,0.042,-0.001,-0.003,
1,2,H,9,0.085,0.085,0.037,0.034,0.04,0.039,0.045,0.046,
1,2,A,10,0.102,0.096,0.037,0.035,0.04,0.039,0.062,0.057,
1,2,B,10,0.063,0.084,0.037,0.036,0.039,0.039,0.024,0.045,
1,2,C,10,0.158,0.138,0.037,0.034,0.039,0.038,0.119,0.1,
1,2,D,10,0.038,0.035,0.038,0.037,0.041,0.039,-0.003,-0.004,
1,2,E,10,0.046,0.047,0.037,0.036,0.04,0.041,0.006,0.006,
1,2,F,10,0.039,0.035,0.038,0.034,0.041,0.038,-0.002,-0.003,
1,2,G,10,0.045,0.047,0.038,0.035,0.041,0.039,0.004,0.008,
1,2,H,10,0.043,0.043,0.037,0.034,0.039,0.038,0.004,0.005,
1,2,A,11,0.048,0.084,0.038,0.036,0.041,0.041,0.007,0.043,
1,2,B,11,0.067,0.145,0.037,0.036,0.04,0.04,0.027,0.105,
1,2,C,11,0.056,0.057,0.037,0.037,0.041,0.039,0.015,0.018,
1,2,D,11,0.046,0.045,0.039,0.037,0.039,0.038,0.007,0.007,
1,2,E,11,0.049,0.051,0.036,0.035,0.039,0.039,0.01,0.012,
1,2,F,11,0.053,0.059,0.039,0.039,0.042,0.043,0.011,0.016,
1,2,G,11,0.04,0.04,0.036,0.038,0.039,0.039,0.001,0.001,
1,2,H,11,0.042,0.043,0.036,0.034,0.039,0.037,0.003,0.006,
1,2,A,12,0.044,0.062,0.038,0.035,0.04,0.038,0.004,0.024,
1,2,B,12,0.036,0.034,0.036,0.034,0.038,0.037,-0.002,-0.003,
1,2,C,12,0.066,0.078,0.036,0.034,0.039,0.038,0.027,0.04,
1,2,D,12,0.055,0.068,0.037,0.034,0.041,0.039,0.014,0.029,
1,2,E,12,0.049,0.053,0.037,0.035,0.04,0.039,0.009,0.014,
1,2,F,12,0.038,0.036,0.039,0.036,0.041,0.039,-0.003,-0.003,
1,2,G,12,0.037,0.035,0.037,0.033,0.039,0.038,-0.002,-0.003,
1,2,H,12,0.036,0.034,0.036,0.034,0.041,0.039,-0.005,-0.005,
1,3,A,1,0.054,0.053,0.039,0.036,0.041,0.04,0.013,0.013,
1,3,B,1,0.046,0.075,0.036,0.034,0.038,0.038,0.008,0.037,
1,3,C,1,0.088,0.104,0.036,0.034,0.04,0.039,0.048,0.065,
1,3,D,1,0.035,0.033,0.036,0.034,0.043,0.042,-0.008,-0.009,
1,3,E,1,0.202,0.2,0.037,0.036,0.041,0.041,0.161,0.159,
1,3,F,1,0.052,0.067,0.037,0.036,0.04,0.039,0.012,0.028,
1,3,G,1,0.097,0.092,0.036,0.034,0.039,0.038,0.058,0.054,
1,3,H,1,0.045,0.043,0.039,0.037,0.041,0.04,0.004,0.003,
1,3,A,2,0.151,0.143,0.038,0.037,0.04,0.039,0.111,0.104,
1,3,B,2,0.035,0.036,0.036,0.037,0.037,0.038,-0.002,-0.002,
1,3,C,2,0.081,0.091,0.037,0.032,0.039,0.037,0.042,0.054,
1,3,D,2,0.036,0.034,0.036,0.034,0.038,0.037,-0.002,-0.003,
1,3,E,2,0.204,0.199,0.036,0.036,0.037,0.039,0.167,0.16,
1,3,F,2,0.037,0.038,0.037,0.037,0.039,0.041,-0.002,-0.003,
1,3,G,2,0.199,0.17,0.036,0.034,0.039,0.037,0.16,0.133,
1,3,H,2,0.036,0.033,0.036,0.034,0.038,0.037,-0.002,-0.004,
1,3,A,3,0.059,0.13,0.039,0.037,0.041,0.04,0.018,0.09,
1,3,B,3,0.045,0.063,0.036,0.037,0.039,0.041,0.006,0.022,
1,3,C,3,0.037,0.034,0.037,0.034,0.04,0.039,-0.003,-0.005,
1,3,D,3,0.272,0.252,0.038,0.035,0.042,0.04,0.23,0.212,
1,3,E,3,0.037,0.034,0.037,0.034,0.04,0.038,-0.003,-0.004,
1,3,F,3,0.209,0.194,0.039,0.034,0.042,0.039,0.167,0.155,
1,3,G,3,0.043,0.043,0.037,0.036,0.04,0.04,0.003,0.003,
1,3,H,3,0.036,0.033,0.036,0.033,0.039,0.038,-0.003,-0.005,
1,3,A,4,0.096,0.201,0.038,0.037,0.041,0.04,0.055,0.161,
1,3,B,4,0.05,0.098,0.039,0.038,0.039,0.041,0.011,0.057,
1,3,C,4,0.078,0.084,0.037,0.034,0.04,0.037,0.038,0.047,
1,3,D,4,0.18,0.141,0.039,0.036,0.042,0.04,0.138,0.101,
1,3,E,4,0.1,0.117,0.037,0.039,0.037,0.041,0.063,0.076,
1,3,F,4,0.041,0.043,0.036,0.037,0.038,0.04,0.003,0.003,
1,3,G,4,0.229,0.228,0.036,0.036,0.038,0.039,0.191,0.189,
1,3,H,4,0.036,0.033,0.036,0.034,0.038,0.037,-0.002,-0.004,
1,3,A,5,0.045,0.053,0.038,0.035,0.04,0.04,0.005,0.013,
1,3,B,5,0.051,0.088,0.037,0.033,0.039,0.04,0.012,0.048,
1,3,C,5,0.038,0.034,0.038,0.033,0.04,0.038,-0.002,-0.004,
1,3,D,5,0.267,0.257,0.037,0.036,0.039,0.039,0.228,0.218,
1,3,E,5,0.191,0.164,0.036,0.038,0.039,0.042,0.152,0.122,
1,3,F,5,0.047,0.05,0.038,0.035,0.041,0.039,0.006,0.011,
1,3,G,5,0.036,0.038,0.035,0.038,0.04,0.042,-0.004,-0.004,
1,3,H,5,0.146,0.138,0.039,0.036,0.041,0.04,0.105,0.098,
1,3,A,6,0.148,0.202,0.036,0.034,0.038,0.037,0.11,0.165,
1,3,B,6,0.036,0.034,0.036,0.034,0.038,0.037,-0.002,-0.003,
1,3,C,6,0.054,0.057,0.038,0.035,0.04,0.038,0.014,0.019,
1,3,D,6,0.08,0.073,0.037,0.031,0.039,0.039,0.041,0.034,
1,3,E,6,0.181,0.19,0.036,0.035,0.039,0.038,0.142,0.152,
1,3,F,6,0.246,0.212,0.036,0.034,0.038,0.037,0.208,0.175,
1,3,G,6,0.037,0.036,0.037,0.036,0.041,0.041,-0.004,-0.005,
1,3,H,6,0.147,0.14,0.038,0.036,0.039,0.038,0.108,0.102,
1,3,A,7,0.144,0.137,0.038,0.032,0.039,0.039,0.105,0.098,
1,3,B,7,0.036,0.034,0.036,0.034,0.038,0.037,-0.002,-0.003,
1,3,C,7,0.066,0.132,0.036,0.034,0.039,0.038,0.027,0.094,
1,3,D,7,0.053,0.061,0.037,0.034,0.04,0.038,0.013,0.023,
1,3,E,7,0.053,0.051,0.037,0.034,0.039,0.038,0.014,0.013,
1,3,F,7,0.215,0.202,0.036,0.034,0.039,0.038,0.176,0.164,
1,3,G,7,0.039,0.037,0.038,0.036,0.044,0.043,-0.005,-0.006,
1,3,H,7,0.184,0.187,0.041,0.041,0.045,0.047,0.139,0.14,
1,3,A,8,0.09,0.127,0.036,0.034,0.038,0.037,0.052,0.09,
1,3,B,8,0.041,0.044,0.036,0.034,0.039,0.038,0.002,0.006,
1,3,C,8,0.267,0.224,0.036,0.034,0.039,0.038,0.228,0.186,
1,3,D,8,0.036,0.035,0.036,0.035,0.039,0.038,-0.003,-0.003,
1,3,E,8,0.103,0.109,0.036,0.03,0.039,0.04,0.064,0.069,
1,3,F,8,0.037,0.035,0.038,0.041,0.04,0.04,-0.003,-0.005,
1,3,G,8,0.045,0.051,0.038,0.037,0.041,0.041,0.004,0.01,
1,3,H,8,0.104,0.096,0.039,0.036,0.041,0.039,0.063,0.057,
1,3,A,9,0.096,0.135,0.038,0.036,0.041,0.04,0.055,0.095,
1,3,B,9,0.041,0.04,0.037,0.035,0.039,0.038,0.002,0.002,
1,3,C,9,0.154,0.156,0.037,0.034,0.041,0.039,0.113,0.117,
1,3,D,9,0.037,0.036,0.038,0.036,0.04,0.04,-0.003,-0.004,
1,3,E,9,0.043,0.047,0.036,0.039,0.039,0.042,0.004,0.005,
1,3,F,9,0.166,0.151,0.037,0.034,0.039,0.038,0.127,0.113,
1,3,G,9,0.047,0.049,0.037,0.038,0.039,0.042,0.008,0.007,
1,3,H,9,0.037,0.034,0.037,0.034,0.04,0.039,-0.003,-0.005,
1,3,A,10,0.096,0.127,0.037,0.035,0.04,0.039,0.056,0.088,
1,3,B,10,0.049,0.065,0.037,0.036,0.039,0.039,0.01,0.026,
1,3,C,10,0.046,0.045,0.037,0.034,0.039,0.038,0.007,0.007,
1,3,D,10,0.103,0.088,0.038,0.037,0.041,0.039,0.062,0.049,
1,3,E,10,0.079,0.089,0.037,0.036,0.04,0.041,0.039,0.048,
1,3,F,10,0.037,0.034,0.038,0.034,0.041,0.038,-0.004,-0.004,
1,3,G,10,0.037,0.035,0.038,0.035,0.041,0.039,-0.004,-0.004,
1,3,H,10,0.119,0.127,0.037,0.034,0.039,0.038,0.08,0.089,
1,3,A,11,0.038,0.036,0.038,0.036,0.041,0.041,-0.003,-0.005,
1,3,B,11,0.092,0.081,0.037,0.036,0.04,0.04,0.052,0.041,
1,3,C,11,0.05,0.048,0.037,0.037,0.041,0.039,0.009,0.009,
1,3,D,11,0.035,0.034,0.039,0.037,0.039,0.038,-0.004,-0.004,
1,3,E,11,0.046,0.046,0.036,0.035,0.039,0.039,0.007,0.007,
1,3,F,11,0.074,0.073,0.039,0.039,0.042,0.043,0.032,0.03,
1,3,G,11,0.056,0.053,0.036,0.038,0.039,0.039,0.017,0.014,
1,3,H,11,0.123,0.116,0.036,0.034,0.039,0.037,0.084,0.079,
1,3,A,12,0.059,0.067,0.038,0.035,0.04,0.038,0.019,0.029,
1,3,B,12,0.127,0.11,0.036,0.034,0.038,0.037,0.089,0.073,
1,3,C,12,0.118,0.119,0.036,0.034,0.039,0.038,0.079,0.081,
1,3,D,12,0.275,0.283,0.037,0.034,0.041,0.039,0.234,0.244,
1,3,E,12,0.179,0.18,0.037,0.035,0.04,0.039,0.139,0.141,
1,3,F,12,0.051,0.059,0.039,0.036,0.041,0.039,0.01,0.02,
1,3,G,12,0.041,0.041,0.037,0.033,0.039,0.038,0.002,0.003,
1,3,H,12,0.042,0.041,0.036,0.034,0.041,0.039,0.001,0.002,
