round,plate,row,col,od600,od750,r3empty600,r3empty750,r3startRO600,r3startRO750,r3endRO600,r3endRO750,meanROr3600,meanROr3750,blankod600,blankod750,note
3,1,A,1,0.051,0.049,0.049,0.047,0.041,0.04,0.041,0.039,0.041,0.04,0.01,0.009,blankodcols are difference between sample and mean RO
3,1,B,1,0.044,0.042,0.048,0.045,0.039,0.038,0.038,0.038,0.0385,0.0385,0.0055,0.0035,samples are 60 ul
3,1,C,1,0.041,0.04,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.038,0.002,0.002,
3,1,D,1,0.041,0.042,0.046,0.044,0.039,0.038,0.039,0.038,0.039,0.0385,0.002,0.0035,
3,1,E,1,0.051,0.048,0.047,0.045,0.04,0.04,0.04,0.04,0.04,0.039,0.011,0.009,
3,1,F,1,0.071,0.06,0.047,0.045,0.04,0.04,0.04,0.039,0.04,0.04,0.031,0.02,
3,1,G,1,0.041,0.04,0.048,0.045,0.04,0.04,0.04,0.039,0.04,0.0395,0.001,0.0005,
3,1,H,1,0.045,0.043,0.052,0.049,0.048,0.047,0.043,0.041,0.0455,0.043,-0.0005,0,
3,1,A,2,0.041,0.046,0.049,0.048,0.04,0.04,0.04,0.04,0.04,0.0405,0.001,0.0055,
3,1,B,2,0.042,0.045,0.047,0.045,0.04,0.041,0.038,0.039,0.039,0.0405,0.003,0.0045,
3,1,C,2,0.056,0.043,0.047,0.044,0.039,0.037,0.039,0.038,0.039,0.038,0.017,0.005,
3,1,D,2,0.054,0.046,0.047,0.045,0.039,0.039,0.039,0.038,0.039,0.0385,0.015,0.0075,
3,1,E,2,0.042,0.041,0.046,0.045,0.038,0.038,0.039,0.04,0.0385,0.038,0.0035,0.003,
3,1,F,2,0.042,0.044,0.047,0.047,0.039,0.04,0.039,0.041,0.039,0.04,0.003,0.004,
3,1,G,2,0.041,0.039,0.047,0.044,0.041,0.038,0.04,0.039,0.0405,0.0395,0.0005,-0.0005,
3,1,H,2,0.05,0.045,0.047,0.044,0.039,0.038,0.04,0.039,0.0395,0.0385,0.0105,0.0065,
3,1,A,3,0.045,0.045,0.051,0.049,0.04,0.04,0.041,0.04,0.0405,0.0395,0.0045,0.0055,
3,1,B,3,0.042,0.043,0.047,0.047,0.038,0.041,0.038,0.04,0.038,0.0405,0.004,0.0025,
3,1,C,3,0.041,0.041,0.047,0.044,0.039,0.038,0.039,0.038,0.039,0.039,0.002,0.002,
3,1,D,3,0.044,0.042,0.048,0.045,0.041,0.04,0.04,0.038,0.0405,0.039,0.0035,0.003,
3,1,E,3,0.046,0.062,0.047,0.044,0.04,0.039,0.04,0.038,0.04,0.0385,0.006,0.0235,
3,1,F,3,0.061,0.046,0.049,0.045,0.04,0.038,0.041,0.038,0.0405,0.038,0.0205,0.008,
3,1,G,3,0.067,0.045,0.048,0.046,0.04,0.04,0.039,0.039,0.0395,0.039,0.0275,0.006,
3,1,H,3,0.041,0.039,0.047,0.044,0.04,0.038,0.04,0.038,0.04,0.0385,0.001,0.0005,
3,1,A,4,0.046,0.041,0.048,0.047,0.04,0.039,0.041,0.04,0.0405,0.0385,0.0055,0.0025,
3,1,B,4,0.047,0.042,0.049,0.049,0.04,0.041,0.04,0.041,0.04,0.0405,0.007,0.0015,
3,1,C,4,0.048,0.048,0.048,0.044,0.039,0.037,0.04,0.038,0.0395,0.039,0.0085,0.009,
3,1,D,4,0.051,0.049,0.049,0.048,0.04,0.04,0.041,0.041,0.0405,0.039,0.0105,0.01,
3,1,E,4,0.041,0.054,0.048,0.048,0.041,0.043,0.039,0.042,0.04,0.042,0.001,0.012,
3,1,F,4,0.039,0.042,0.047,0.046,0.039,0.04,0.039,0.04,0.039,0.041,0,0.001,
3,1,G,4,0.04,0.041,0.049,0.047,0.041,0.042,0.038,0.039,0.0395,0.041,0.0005,0,
3,1,H,4,0.041,0.039,0.047,0.044,0.039,0.039,0.041,0.04,0.04,0.039,0.001,0,
3,1,A,5,0.051,0.045,0.047,0.045,0.039,0.038,0.04,0.039,0.0395,0.039,0.0115,0.006,
3,1,B,5,0.042,0.043,0.047,0.045,0.038,0.039,0.039,0.04,0.0385,0.039,0.0035,0.004,
3,1,C,5,0.041,0.039,0.047,0.044,0.039,0.038,0.04,0.039,0.0395,0.039,0.0015,0,
3,1,D,5,0.091,0.071,0.047,0.046,0.039,0.039,0.039,0.039,0.039,0.039,0.052,0.032,
3,1,E,5,0.056,0.058,0.047,0.048,0.039,0.041,0.039,0.042,0.039,0.04,0.017,0.018,
3,1,F,5,0.067,0.059,0.048,0.045,0.04,0.038,0.04,0.039,0.04,0.04,0.027,0.019,
3,1,G,5,0.048,0.048,0.046,0.047,0.039,0.041,0.039,0.041,0.039,0.04,0.009,0.008,
3,1,H,5,0.043,0.042,0.049,0.046,0.043,0.042,0.041,0.041,0.042,0.0415,0.001,0.0005,
3,1,A,6,0.043,0.041,0.047,0.045,0.038,0.038,0.04,0.04,0.039,0.0395,0.004,0.0015,
3,1,B,6,0.046,0.041,0.046,0.044,0.038,0.038,0.039,0.038,0.0385,0.039,0.0075,0.002,
3,1,C,6,0.042,0.041,0.048,0.046,0.04,0.039,0.041,0.04,0.0405,0.0385,0.0015,0.0025,
3,1,D,6,0.045,0.041,0.047,0.045,0.039,0.039,0.039,0.039,0.039,0.0395,0.006,0.0015,
3,1,E,6,0.045,0.046,0.046,0.044,0.039,0.038,0.039,0.038,0.039,0.0385,0.006,0.0075,
3,1,F,6,0.052,0.05,0.047,0.044,0.039,0.038,0.039,0.039,0.039,0.038,0.013,0.012,
3,1,G,6,0.046,0.048,0.048,0.046,0.04,0.041,0.04,0.04,0.04,0.04,0.006,0.008,
3,1,H,6,0.047,0.044,0.048,0.045,0.04,0.039,0.041,0.04,0.0405,0.0395,0.0065,0.0045,
3,1,A,7,0.045,0.044,0.047,0.046,0.039,0.041,0.042,0.041,0.0405,0.0405,0.0045,0.0035,
3,1,B,7,0.04,0.041,0.046,0.044,0.039,0.038,0.041,0.04,0.04,0.0395,0,0.0015,
3,1,C,7,0.043,0.044,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.039,0.004,0.005,
3,1,D,7,0.052,0.049,0.048,0.045,0.039,0.038,0.04,0.039,0.0395,0.0385,0.0125,0.0105,
3,1,E,7,0.042,0.041,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.0385,0.003,0.0025,
3,1,F,7,0.059,0.055,0.047,0.045,0.039,0.039,0.039,0.039,0.039,0.039,0.02,0.016,
3,1,G,7,0.043,0.041,0.049,0.047,0.04,0.04,0.041,0.04,0.0405,0.0395,0.0025,0.0015,
3,1,H,7,0.049,0.048,0.053,0.053,0.044,0.046,0.046,0.047,0.045,0.043,0.004,0.005,
3,1,A,8,0.046,0.044,0.047,0.045,0.039,0.038,0.04,0.04,0.0395,0.0425,0.0065,0.0015,
3,1,B,8,0.04,0.039,0.047,0.044,0.039,0.038,0.039,0.038,0.039,0.039,0.001,0,
3,1,C,8,0.05,0.042,0.048,0.045,0.039,0.038,0.04,0.039,0.0395,0.038,0.0105,0.004,
3,1,D,8,0.053,0.046,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.0385,0.014,0.0075,
3,1,E,8,0.048,0.046,0.047,0.046,0.039,0.04,0.04,0.04,0.0395,0.0395,0.0085,0.0065,
3,1,F,8,0.044,0.043,0.048,0.047,0.04,0.04,0.04,0.04,0.04,0.04,0.004,0.003,
3,1,G,8,0.042,0.042,0.049,0.047,0.04,0.04,0.04,0.04,0.04,0.04,0.002,0.002,
3,1,H,8,0.043,0.041,0.049,0.045,0.041,0.039,0.042,0.04,0.0415,0.0395,0.0015,0.0015,
3,1,A,9,0.043,0.042,0.048,0.046,0.04,0.04,0.04,0.04,0.04,0.04,0.003,0.002,
3,1,B,9,0.043,0.042,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.039,0.004,0.003,
3,1,C,9,0.043,0.041,0.048,0.045,0.039,0.039,0.04,0.039,0.0395,0.039,0.0035,0.002,
3,1,D,9,0.042,0.04,0.048,0.046,0.04,0.039,0.04,0.04,0.04,0.039,0.002,0.001,
3,1,E,9,0.048,0.05,0.046,0.048,0.039,0.041,0.039,0.042,0.039,0.0405,0.009,0.0095,
3,1,F,9,0.042,0.04,0.047,0.044,0.039,0.038,0.039,0.038,0.039,0.04,0.003,0,
3,1,G,9,0.043,0.043,0.047,0.047,0.039,0.041,0.039,0.041,0.039,0.0395,0.004,0.0035,
3,1,H,9,0.043,0.04,0.048,0.045,0.039,0.038,0.041,0.04,0.04,0.0395,0.003,0.0005,
3,1,A,10,0.042,0.04,0.047,0.045,0.039,0.039,0.04,0.039,0.0395,0.0395,0.0025,0.0005,
3,1,B,10,0.04,0.041,0.047,0.046,0.039,0.039,0.039,0.04,0.039,0.039,0.001,0.002,
3,1,C,10,0.039,0.039,0.046,0.044,0.039,0.038,0.039,0.038,0.039,0.039,0,0,
3,1,D,10,0.041,0.039,0.047,0.044,0.04,0.038,0.04,0.039,0.04,0.038,0.001,0.001,
3,1,E,10,0.04,0.041,0.049,0.048,0.04,0.041,0.04,0.041,0.04,0.04,0,0.001,
3,1,F,10,0.051,0.048,0.049,0.045,0.04,0.038,0.04,0.038,0.04,0.0395,0.011,0.0085,
3,1,G,10,0.044,0.042,0.051,0.047,0.043,0.041,0.043,0.041,0.043,0.0395,0.001,0.0025,
3,1,H,10,0.04,0.039,0.05,0.046,0.039,0.038,0.041,0.04,0.04,0.0395,0,-0.0005,
3,1,A,11,0.046,0.043,0.047,0.045,0.04,0.04,0.04,0.04,0.04,0.04,0.006,0.003,
3,1,B,11,0.042,0.041,0.047,0.046,0.039,0.039,0.039,0.039,0.039,0.0395,0.003,0.0015,
3,1,C,11,0.042,0.042,0.048,0.046,0.039,0.038,0.039,0.039,0.039,0.0385,0.003,0.0035,
3,1,D,11,0.039,0.039,0.047,0.044,0.038,0.038,0.039,0.039,0.0385,0.0385,0.0005,0.0005,
3,1,E,11,0.04,0.041,0.047,0.046,0.039,0.039,0.04,0.04,0.0395,0.039,0.0005,0.002,
3,1,F,11,0.058,0.053,0.052,0.051,0.041,0.043,0.041,0.043,0.041,0.0415,0.017,0.0115,
3,1,G,11,0.042,0.041,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.0405,0.003,0.0005,
3,1,H,11,0.043,0.041,0.047,0.045,0.039,0.038,0.041,0.04,0.04,0.0385,0.003,0.0025,
3,1,A,12,0.043,0.04,0.049,0.046,0.04,0.039,0.04,0.04,0.04,0.0395,0.003,0.0005,
