round,device,plate,octday,novd,hour,a1.skirt,h1.skirt,a12.skirt,h12.skirt
1,1,1,22,-10,20,26.8,26.8,20.7,20.7
1,1,1,22,-10,21,26.8,26.8,20.7,20.7
1,1,1,22,-10,22,26.8,26.8,20.7,20.7
1,1,1,22,-10,23,26.8,26.8,20.7,20.7
1,1,1,22,-10,24,26.8,26.8,20.7,20.7
1,1,1,23,-10,1,26.8,26.8,20.7,20.7
1,1,1,23,-10,2,26.8,26.8,20.7,20.7
1,1,1,23,-10,3,26.8,26.8,20.7,20.7
1,1,1,23,-10,4,26.8,26.8,20.7,20.7
1,1,1,23,-10,5,26.8,26.8,20.7,20.7
1,1,1,23,-10,6,26.8,26.8,20.7,20.7
1,1,1,23,-10,7,26.8,26.8,20.7,20.7
1,1,1,23,-10,8,26.8,26.8,20.7,20.7
1,1,1,23,-10,9,26.8,26.8,20.7,20.7
1,1,1,23,-10,10,26.8,26.8,20.7,20.7
1,1,1,23,-9,11,26.8,26.8,20.7,20.7
1,1,1,23,-9,12,26.8,26.8,20.7,20.7
1,1,1,23,-9,13,26.8,26.8,20.7,20.7
1,1,1,23,-9,14,27,27.2,19.9,20.2
1,1,1,23,-9,15,27.2,27.6,19.1,19.6
1,1,1,23,-9,16,27.2,27.6,19.1,19.6
1,1,1,23,-9,17,27.2,27.6,19.1,19.6
1,1,1,23,-9,18,27.2,27.6,19.1,19.6
1,1,1,23,-9,19,27.2,27.6,19.1,19.6
1,1,1,23,-9,20,27.2,27.6,19.1,19.6
1,1,1,23,-9,21,27.2,27.6,19.1,19.6
1,1,1,23,-9,22,27.2,27.6,19.1,19.6
1,1,1,23,-9,23,27.2,27.6,19.1,19.6
1,1,1,23,-9,24,27.2,27.6,19.1,19.6
1,1,1,24,-8,1,27.2,27.6,19.1,19.6
1,1,1,24,-8,2,27,27.3,19.2,19.4
1,1,1,24,-8,3,26.7,26.9,19.3,19.1
1,1,1,24,-8,4,26.7,26.9,19.3,19.1
1,1,1,24,-8,5,26.7,26.9,19.3,19.1
1,1,1,24,-8,6,26.7,26.9,19.3,19.1
1,1,1,24,-8,7,26.7,26.9,19.3,19.1
1,1,1,24,-8,8,26.7,26.9,19.3,19.1
1,1,1,24,-8,9,26.7,26.9,19.3,19.1
1,1,1,24,-8,10,26.7,26.9,19.3,19.1
1,1,1,24,-8,11,26.7,26.9,19.3,19.1
1,1,1,24,-8,12,26.7,26.9,19.3,19.1
1,1,1,24,-8,13,26.7,26.9,19.3,19.1
1,1,1,24,-8,14,26.7,26.9,19.3,19.1
1,1,1,24,-8,15,26.7,26.9,19.3,19.1
1,1,1,24,-8,16,26.7,26.9,19.3,19.1
1,1,1,24,-8,17,26.7,26.9,19.3,19.1
1,1,1,24,-8,18,26.7,26.9,19.3,19.1
1,1,1,24,-8,19,26.7,26.9,19.3,19.1
1,1,1,24,-8,20,26.7,26.9,19.3,19.1
1,1,1,24,-8,21,26.7,26.9,19.3,19.1
1,1,1,24,-8,22,26.7,26.9,19.3,19.1
1,1,1,24,-8,23,26.7,26.9,19.3,19.1
1,1,1,24,-8,24,26.7,26.9,19.3,19.1
1,1,1,25,-7,1,26.7,26.9,19.3,19.1
1,1,1,25,-7,2,26.7,26.9,19.3,19.1
1,1,1,25,-7,3,26.7,26.9,19.3,19.1
1,1,1,25,-7,4,26.7,26.9,19.3,19.1
1,1,1,25,-7,5,26.7,26.9,19.3,19.1
1,1,1,25,-7,6,26.7,26.9,19.3,19.1
1,1,1,25,-7,7,26.7,26.9,19.3,19.1
1,1,1,25,-7,8,26.7,26.9,19.3,19.1
1,1,1,25,-7,9,26.7,26.9,19.3,19.1
1,1,1,25,-7,10,26.7,26.9,19.3,19.1
1,1,1,25,-7,11,26.7,26.9,19.3,19.1
1,1,1,25,-7,12,26.7,26.9,19.3,19.1
1,1,1,25,-7,13,26.7,26.9,19.3,19.1
1,1,1,25,-7,14,26.7,26.9,19.3,19.1
1,1,1,25,-7,15,26.7,26.9,19.3,19.1
1,1,1,25,-7,16,26.7,26.9,19.3,19.1
