"image","round","plate","row","col","dry","endlivefronds","enddeadfronds","particles","area","perim","mean","circ","feret","minferet","ar","round","solid","perred","pergreen","perblue","numrow","microbe","co2","temp","deltapix","deltaratio","tire","tirex","is.alive","is.dead","od600b","flod600b"
"DSC_1069_Plate1Round1End.JPG",1,1,"a",1,"y",5,0,1,916,158.752,27.172,0.457,44.553,33.67,1.524,0.656,0.781,0.374613572795525,0.478850777761421,0.146462044261249,1,"n",1000,26.7580882352941,-1864,-0.504329004329004,0,0,1,0,-0.002,-7.60090245954208
"DSC_1069_Plate1Round1End.JPG",1,1,"b",1,"",4,0,1,6800,527.671,41.599,0.307,167.371,74.308,2.345,0.426,0.782,0.406756572674023,0.49399424665657,0.10029087237674,2,"n",914,26.7852941176471,5340,0.646489104116223,0,0,1,0,0.064,-2.74887219562247
"DSC_1069_Plate1Round1End.JPG",1,1,"c",1,"",6,1,1,6292,682.666,47.14,0.17,155.724,83.863,2.203,0.454,0.592,0.395743176354122,0.459913732145382,0.144590581247348,3,"n",829,26.8125,3603,0.401180269457744,0,0,1,0,0.043,-3.14655516328857
"DSC_1069_Plate1Round1End.JPG",1,1,"d",1,"y",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"n",743,26.8397058823529,-2555,-1,0,0,0,1,-0.007,-7.60090245954208
"DSC_1069_Plate1Round1End.JPG",1,1,"e",1,"",3,0,1,4856,396.659,44.266,0.388,108.24,83.311,1.557,0.642,0.757,0.411655296013494,0.477356586695583,0.1118992755915,5,"n",657,26.8669117647059,4179,0.755286463039942,0,0,1,0,0.025,-3.68887945411394
"DSC_1069_Plate1Round1End.JPG",1,1,"f",1,"",4,0,1,7214,540.156,41.71,0.311,130.115,93.348,1.544,0.648,0.774,0.401774154878926,0.480883880764005,0.117789498921122,6,"n",571,26.8941176470588,4154,0.404321588475764,0,0,1,0,0.107,-2.23492644452023
"DSC_1069_Plate1Round1End.JPG",1,1,"g",1,"y",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"n",486,26.9213235294118,-420,-1,0,0,0,1,-0.001,-7.60090245954208
"DSC_1069_Plate1Round1End.JPG",1,1,"h",1,"",4,0,1,5937,423.688,29.297,0.416,128.95,84.889,1.245,0.803,0.811,0.422386820038457,0.520792800172941,0.0561946046807978,8,"n",400,26.9485294117647,4815,0.682107947301318,0,0,1,0,0.015,-4.19970507787993
"DSC_1069_Plate1Round1End.JPG",1,1,"a",2,"",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"y",1000,26.0957887700535,-710,-1,0,0,0,1,0.012,-4.42284862919414
"DSC_1069_Plate1Round1End.JPG",1,1,"b",2,"",2,0,1,6438,685.737,49.212,0.172,157.267,85.136,2.067,0.484,0.728,0.42650843967596,0.476137256495706,0.0970698203690157,2,"y",914,26.1190889992361,3265,0.33971490999896,0,0,1,0,0.119,-2.12863178587061
"DSC_1069_Plate1Round1End.JPG",1,1,"c",2,"",3,0,1,2922,368.032,45.626,0.271,106.794,52.199,2.327,0.43,0.767,0.423479302736744,0.482911790061222,0.0935650725463552,3,"y",829,26.1423892284186,1798,0.444389520514088,0,0,1,0,0.004,-5.52146091786225
"DSC_1069_Plate1Round1End.JPG",1,1,"d",2,"",1,0,1,558,215.421,56.409,0.151,50.01,26.411,1.825,0.548,0.606,0.443274418384773,0.485454448758177,0.0718443274418385,4,"y",743,26.1656894576012,-788,-0.413865546218487,0,0,1,0,0.005,-5.29831736654804
"DSC_1069_Plate1Round1End.JPG",1,1,"e",2,"y",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"y",657,26.1889896867838,-2185,-1,0,0,0,1,-0.002,-7.60090245954208
"DSC_1069_Plate1Round1End.JPG",1,1,"f",2,"",4,0,1,6815,518.541,47.12,0.318,125.897,102.513,1.497,0.668,0.727,0.395953593661573,0.470571590265988,0.133828522920204,6,"y",571,26.2122899159664,5167,0.610539997636772,0,0,1,0,0.007,-4.96184512992682
"DSC_1069_Plate1Round1End.JPG",1,1,"g",2,"",2,1,1,1635,244.108,39.245,0.345,59.304,43.244,1.49,0.671,0.806,0.45517475686924,0.510425956597443,0.0340935150974647,7,"y",486,26.235590145149,-391,-0.106801420376946,0,0,1,0,0.032,-3.44201937618241
"DSC_1069_Plate1Round1End.JPG",1,1,"h",2,"",4,1,1,5290,651.009,34.751,0.157,144.461,77.651,2.192,0.456,0.637,0.414338196502739,0.487611867284395,0.0974264529557902,8,"y",400,26.2588903743315,3579,0.5112126839023,0,0,1,0,0.02,-3.91202300542815
"DSC_1069_Plate1Round1End.JPG",1,1,"a",3,"",5,0,2,4119,458.458,39.8735,0.4115,88.493,35.9835,3.37,0.339,0.8085,0.4044765717999,0.473175816586915,0.122091140967281,1,"n",1000,25.4334893048128,1675,0.255218650007618,0,0,1,0,0.012,-4.42284862919414
"DSC_1069_Plate1Round1End.JPG",1,1,"b",3,"",4,1,1,8195,750.164,46.88,0.183,168.885,99.546,1.706,0.586,0.66,0.413865187713311,0.478036120591581,0.108511092150171,2,"n",914,25.4528838808251,4978,0.436207500876271,0,0,1,0,0.019,-3.9633162998157
"DSC_1069_Plate1Round1End.JPG",1,1,"c",3,"",6,1,2,10069,958.898,51.0895,0.261,122.974,61.318,2.3235,0.434,0.748,0.404564612712328,0.460116383082027,0.136016392053229,3,"n",829,25.4722784568373,6004,0.424791283430027,0,0,1,0,0.018,-4.01738352108597
"DSC_1069_Plate1Round1End.JPG",1,1,"d",3,"",4,0,1,7093,600.725,52.014,0.247,133.222,112.363,1.129,0.886,0.728,0.417355583753092,0.47636533753733,0.106375206675126,4,"n",743,25.4916730328495,5089,0.55941519182148,0,0,1,0,0.086,-2.45340798272863
"DSC_1069_Plate1Round1End.JPG",1,1,"e",3,"",5,0,1,7589,630.767,51.386,0.24,149.121,92.774,1.815,0.551,0.726,0.408742977983627,0.461279985469453,0.130275431699944,5,"n",657,25.5110676088617,6106,0.673059964726631,0,0,1,0,0.081,-2.5133061243097
"DSC_1069_Plate1Round1End.JPG",1,1,"f",3,"",4,1,1,6776,590.624,48.165,0.244,143.252,92.427,1.793,0.558,0.709,0.410470950551922,0.466431364407073,0.123014637184678,6,"n",571,25.530462184874,3335,0.326416756386415,0,0,1,0,0.003,-5.80914299031403
"DSC_1069_Plate1Round1End.JPG",1,1,"g",3,"",5,1,3,9786,886.975,43.2256666666667,0.448666666666667,91.7736666666667,53.1806666666667,1.977,0.542,0.846,0.40141876666036,0.471726817661743,0.126799955123775,7,"n",486,25.5498567608862,7358,0.602423448501719,0,0,1,0,0.037,-3.29683736633791
"DSC_1069_Plate1Round1End.JPG",1,1,"h",3,"",2,0,1,2685,287.019,34.606,0.41,97.417,42.673,2.754,0.363,0.793,0.43313298271976,0.512021036814425,0.054836348224778,8,"n",400,25.5692513368984,1440,0.366412213740458,0,0,1,0,0.239,-1.43129172705063
"DSC_1069_Plate1Round1End.JPG",1,1,"a",4,"",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"y",1000,24.7711898395722,-891,-1,0,0,0,1,0.002,-6.21460809842219
"DSC_1069_Plate1Round1End.JPG",1,1,"b",4,"",3,1,1,5479,502.985,49.026,0.272,145.602,78.098,2.331,0.429,0.707,0.398598022817825,0.457995077441902,0.143570078461769,2,"y",914,24.7866787624141,2503,0.296037847427558,0,0,1,0,0.17,-1.77195684193188
"DSC_1069_Plate1Round1End.JPG",1,1,"c",4,"",1,1,1,1591,234.593,50.823,0.363,68.731,40.683,1.852,0.54,0.757,0.439787760134847,0.48380982363628,0.0780683286438555,3,"y",829,24.8021676852559,255,0.0871199180047831,0,0,1,0,0.006,-5.11599580975408
"DSC_1069_Plate1Round1End.JPG",1,1,"d",4,"",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"y",743,24.8176566080978,-1926,-1,0,0,0,1,0.009,-4.71053070164592
"DSC_1069_Plate1Round1End.JPG",1,1,"e",4,"",1,2,1,412,101.154,49.216,0.506,32.388,21.256,1.564,0.639,0.772,0.456809438664933,0.495868552232336,0.0495976918075423,5,"y",657,24.8331455309396,-1127,-0.577652485904664,0,0,1,0,0.006,-5.11599580975408
"DSC_1069_Plate1Round1End.JPG",1,1,"f",4,"",2,3,1,1865,256.735,43.461,0.356,69.289,46.669,1.726,0.579,0.776,0.439321077134289,0.495340650238145,0.0657140884931318,6,"y",571,24.8486344537815,-986,-0.209075487701442,0,0,1,0,0.239,-1.43129172705063
"DSC_1069_Plate1Round1End.JPG",1,1,"g",4,"y",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"y",486,24.8641233766234,-5610,-1,0,0,0,1,-0.002,-7.60090245954208
