"image","round","plate","row","col","startlivefronds","startdeadfronds","particles","area","perim","mean","circ","feret","minferet","ar","round","solid","perred","pergreen","perblue","numrow"
"DSC_1061_Plate1Round1Start.JPG",1,1,"a",1,2,0,1,2780,300.676,56.147,0.386,85.165,54.34,1.634,0.612,0.825,0.340160649723048,0.384870666880391,0.275081482536912,1
"DSC_1061_Plate1Round1Start.JPG",1,1,"b",1,2,1,2,1460,229.178,70.0595,0.658,36.7725,27.8705,1.198,0.8465,0.8875,0.344715103661278,0.376870812712658,0.278710370431195,2
"DSC_1061_Plate1Round1Start.JPG",1,1,"c",1,3,0,2,2689,322.191,77.113,0.646,55.192,35.6355,1.658,0.6055,0.892,0.355286420008643,0.384051059727247,0.260724278266967,3
"DSC_1061_Plate1Round1Start.JPG",1,1,"d",1,2,0,1,2555,234.693,66.363,0.583,75.802,44.799,1.847,0.541,0.886,0.349170471497672,0.398977341791862,0.251585974112081,4
"DSC_1061_Plate1Round1Start.JPG",1,1,"e",1,2,0,1,677,151.238,74.764,0.372,56.859,18.136,3.368,0.297,0.821,0.359205856651151,0.381163839994293,0.260071692258306,5
"DSC_1061_Plate1Round1Start.JPG",1,1,"f",1,2,0,1,3060,246.25,69.04,0.634,87,49.169,1.88,0.532,0.909,0.351380842023947,0.397658362302047,0.25112495171881,6
"DSC_1061_Plate1Round1Start.JPG",1,1,"g",1,2,0,1,420,124.51,67.705,0.34,50.329,14.142,4.019,0.249,0.759,0.343987396302587,0.368274130418728,0.288024025798193,7
"DSC_1061_Plate1Round1Start.JPG",1,1,"h",1,3,0,1,1122,191.037,65.1,0.386,69.354,27.3,2.832,0.353,0.847,0.364823348694316,0.382724014336918,0.253077316948285,8
"DSC_1061_Plate1Round1Start.JPG",1,1,"a",2,1,0,1,710,115.74,65.068,0.666,38.013,28,1.259,0.794,0.903,0.339137517673818,0.375668531382554,0.285521813077601,1
"DSC_1061_Plate1Round1Start.JPG",1,1,"b",2,2,0,1,3173,261.907,63.417,0.581,89.051,52.833,1.778,0.563,0.881,0.338847101986323,0.397233128866603,0.263341585589563,2
"DSC_1061_Plate1Round1Start.JPG",1,1,"c",2,1,0,1,1124,141.095,70.138,0.709,51.624,30.406,1.72,0.581,0.921,0.350456718659405,0.389964546085336,0.259436159190928,3
"DSC_1061_Plate1Round1Start.JPG",1,1,"d",2,1,0,1,1346,158.752,87.435,0.671,57.271,31.987,1.746,0.573,0.918,0.346264844360573,0.372554850269724,0.281226053639847,4
"DSC_1061_Plate1Round1Start.JPG",1,1,"e",2,2,0,1,2185,243.38,73.712,0.464,80.523,40.648,2.292,0.436,0.825,0.342056472035309,0.380060234425874,0.277937558787353,5
"DSC_1061_Plate1Round1Start.JPG",1,1,"f",2,1,0,1,1648,169.581,74.953,0.72,60.166,38.267,1.563,0.64,0.93,0.34860957311026,0.385623879853597,0.265739863647886,6
"DSC_1061_Plate1Round1Start.JPG",1,1,"g",2,2,0,1,2026,231.522,63.327,0.475,71.505,47.21,1.647,0.607,0.86,0.35065085455914,0.395271106057974,0.254046457277307,7
"DSC_1061_Plate1Round1Start.JPG",1,1,"h",2,2,0,1,1711,204.451,65.17,0.514,79.756,38.913,2.041,0.49,0.848,0.354943481151859,0.396874840161629,0.248125415579766,8
"DSC_1061_Plate1Round1Start.JPG",1,1,"a",3,2,0,1,2444,243.179,62.827,0.519,71.47,47.387,1.608,0.622,0.867,0.352486457520917,0.38258498204063,0.264716337455765,1
"DSC_1061_Plate1Round1Start.JPG",1,1,"b",3,2,0,1,3217,265.664,67.261,0.573,92.396,49.638,2.016,0.496,0.877,0.345034021696575,0.393923174895804,0.260725630999638,2
"DSC_1061_Plate1Round1Start.JPG",1,1,"c",3,2,0,1,4065,339.262,69.086,0.444,105.646,60.229,2.044,0.489,0.817,0.341299250209883,0.390677320055197,0.267709810960252,3
"DSC_1061_Plate1Round1Start.JPG",1,1,"d",3,1,0,1,2004,181.338,77.851,0.766,63.789,41,1.56,0.641,0.949,0.345930045856829,0.387428121240147,0.266684649736891,4
"DSC_1061_Plate1Round1Start.JPG",1,1,"e",3,1,0,1,1483,158.024,73.025,0.746,56.613,35.909,1.651,0.606,0.936,0.34186922286888,0.392888280269314,0.26519228574689,5
"DSC_1061_Plate1Round1Start.JPG",1,1,"f",3,2,0,1,3441,269.463,74.071,0.596,88.482,56.041,1.763,0.567,0.866,0.356608299244419,0.39427486240679,0.249584857771598,6
"DSC_1061_Plate1Round1Start.JPG",1,1,"g",3,2,0,1,2428,242.551,68.772,0.519,86.533,46.748,1.946,0.514,0.844,0.353244537505574,0.39029449969949,0.256625758545144,7
"DSC_1061_Plate1Round1Start.JPG",1,1,"h",3,1,1,1,1245,134.125,75.218,0.87,45.793,38.891,1.142,0.876,0.95,0.340858127930371,0.380795376993096,0.277788118092301,8
"DSC_1061_Plate1Round1Start.JPG",1,1,"a",4,1,0,1,891,130.853,67.918,0.654,43.046,31,1.345,0.744,0.892,0.350211529589603,0.381337298899653,0.268353013928561,1
"DSC_1061_Plate1Round1Start.JPG",1,1,"b",4,2,0,1,2976,296.191,69.68,0.426,93.477,46.014,2.289,0.437,0.84,0.344446039035591,0.384557979334099,0.270732874091083,2
"DSC_1061_Plate1Round1Start.JPG",1,1,"c",4,2,0,1,1336,173.823,82.664,0.556,55.902,34.2,1.784,0.561,0.867,0.344192554598535,0.378125100809704,0.277629923545921,3
"DSC_1061_Plate1Round1Start.JPG",1,1,"d",4,2,0,1,1926,242.492,71.16,0.412,82.735,38.083,2.366,0.423,0.842,0.337633501967397,0.381520517144463,0.280513397039535,4
"DSC_1061_Plate1Round1Start.JPG",1,1,"e",4,1,1,1,1539,155.439,81.029,0.8,55.227,41.012,1.33,0.752,0.954,0.358855060122508,0.383533467441698,0.257800705097352,5
"DSC_1061_Plate1Round1Start.JPG",1,1,"f",4,3,1,2,2851,310.091,81.076,0.676,51.6245,31.2175,1.593,0.649,0.8835,0.35544103797844,0.37793971267935,0.267070493863277,6
"DSC_1061_Plate1Round1Start.JPG",1,1,"g",4,4,0,1,5610,364.132,65.535,0.532,112.872,75.253,1.684,0.594,0.852,0.358017344421556,0.407731237760993,0.234592202639811,7
"DSC_1061_Plate1Round1Start.JPG",1,1,"h",4,2,0,1,2900,276.635,72.864,0.476,85,49,1.864,0.536,0.851,0.352707326892109,0.387315180793442,0.260256551017421,8
"DSC_1061_Plate1Round1Start.JPG",1,1,"a",5,2,0,1,3387,272.978,63.151,0.571,90,53.182,1.825,0.548,0.888,0.348218291607945,0.39124215504637,0.260407594495732,1
"DSC_1061_Plate1Round1Start.JPG",1,1,"b",5,3,1,1,4979,480.558,71.006,0.271,104.48,81.436,1.469,0.681,0.726,0.359284191946221,0.394675567322949,0.24625618492334,2
"DSC_1061_Plate1Round1Start.JPG",1,1,"c",5,2,1,1,2888,260.35,73.18,0.535,83.57,47.141,1.919,0.521,0.892,0.34860617655097,0.385560717864626,0.265701011205247,3
"DSC_1061_Plate1Round1Start.JPG",1,1,"d",5,4,1,3,5025,638.666,81.913,0.472666666666667,64.4473333333333,40.209,1.61366666666667,0.636666666666667,0.848666666666667,0.359718686075941,0.384415113073098,0.256070942374498,4
"DSC_1061_Plate1Round1Start.JPG",1,1,"e",5,2,0,1,2861,334.96,74.523,0.32,87.361,49.136,1.946,0.514,0.827,0.355085007313178,0.392576788374059,0.252776547732467,5
"DSC_1061_Plate1Round1Start.JPG",1,1,"f",5,1,0,1,1868,182.652,82.204,0.704,65.513,43,1.481,0.675,0.935,0.359775680015571,0.388626668613044,0.252149124941203,6
"DSC_1061_Plate1Round1Start.JPG",1,1,"g",5,3,1,2,5166,418.173,72.129,0.7315,73.014,46.466,1.5715,0.6825,0.923,0.357093215895674,0.398552548893041,0.244747433191553,7
